2017-05-02 13:20:30,504 [main] INFO  marytts.main Mary starting up...
2017-05-02 13:20:30,507 [main] INFO  marytts.main Specification version 5.2
2017-05-02 13:20:30,507 [main] INFO  marytts.main Implementation version unknown
2017-05-02 13:20:30,507 [main] INFO  marytts.main Running on a Java 1.8.0_74 implementation by Oracle Corporation, on a Mac OS X platform (x86_64, 10.12.3)
2017-05-02 13:20:30,604 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.language.en.JTokeniser'
2017-05-02 13:20:30,607 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.language.en.Preprocess'
2017-05-02 13:20:30,768 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.JPhonemiser(en_US.)'
2017-05-02 13:20:30,771 [main] INFO  marytts.JPhonemiser User dictionary './user-dictionaries/userdict-en_US.txt' for locale 'en_US' does not exist. Ignoring.
2017-05-02 13:20:30,834 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.JPhonemiser(en_GB.)'
2017-05-02 13:20:30,834 [main] INFO  marytts.JPhonemiser User dictionary './user-dictionaries/userdict-en_GB.txt' for locale 'en_GB' does not exist. Ignoring.
2017-05-02 13:20:30,873 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.language.en.Prosody'
2017-05-02 13:20:30,875 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.SimplePhoneme2AP(en_US)'
2017-05-02 13:20:30,876 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.language.en.PronunciationModel'
2017-05-02 13:20:30,877 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.OpenNLPPosTagger(en,en.pos)'
2017-05-02 13:20:30,878 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.Synthesis'
2017-05-02 13:20:30,878 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.TextToMaryXML'
2017-05-02 13:20:30,879 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.SableParser'
2017-05-02 13:20:30,880 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.SSMLParser'
2017-05-02 13:20:30,880 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.APMLParser'
2017-05-02 13:20:30,880 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.EmotionmlParser'
2017-05-02 13:20:30,881 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.JTokeniser'
2017-05-02 13:20:30,881 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.DummyTokens2Words'
2017-05-02 13:20:30,881 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.ProsodyGeneric'
2017-05-02 13:20:30,881 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.PronunciationModel'
2017-05-02 13:20:30,882 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.TargetFeatureLister'
2017-05-02 13:20:30,882 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.HalfPhoneTargetFeatureLister'
2017-05-02 13:20:30,883 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.AcousticModeller'
2017-05-02 13:20:30,884 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.RealisedAcoustparamsExtractor'
2017-05-02 13:20:30,884 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.RealisedDurationsExtractor'
2017-05-02 13:20:30,884 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.HTSEngine'
2017-05-02 13:20:30,885 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.PraatTextGridGenerator'
2017-05-02 13:20:30,888 [main] INFO  marytts.JTokeniser Module started (RAWMARYXML->TOKENS, locale en).
2017-05-02 13:20:30,919 [main] INFO  marytts.JTokeniser Starting power-on self test.
2017-05-02 13:20:30,920 [main] INFO  marytts.JTokeniser Power-on self test complete.
2017-05-02 13:20:30,920 [main] INFO  marytts.Preprocess Module started (TOKENS->WORDS, locale en).
2017-05-02 13:20:30,920 [main] INFO  marytts.Preprocess Starting power-on self test.
2017-05-02 13:20:30,920 [main] INFO  marytts.Preprocess Power-on self test complete.
2017-05-02 13:20:30,920 [main] INFO  marytts.JPhonemiser Module started (PARTSOFSPEECH->PHONEMES, locale en_US).
2017-05-02 13:20:30,921 [main] INFO  marytts.JPhonemiser Starting power-on self test.
2017-05-02 13:20:30,922 [main] INFO  marytts.JPhonemiser Power-on self test complete.
2017-05-02 13:20:30,922 [main] INFO  marytts.JPhonemiser Module started (PARTSOFSPEECH->PHONEMES, locale en_GB).
2017-05-02 13:20:30,922 [main] INFO  marytts.JPhonemiser Starting power-on self test.
